dataset,task,n_rows,n_columns,n_components,pca_train_rmse,ae_train_rmse,pca_test_rmse,ae_test_rmse,pca_variance_explained,mean_principal_angle_deg,max_principal_angle_deg,train_rmse_diff_ae_minus_pca,test_rmse_diff_ae_minus_pca,ae_latent_reg_MSE,ae_latent_reg_RMSE,ae_latent_reg_MAE
ai_developer_performance,Regression,1000,12,1,0.8623855084407637,0.8681551138323217,0.8580800002945729,0.875150619987411,0.2562912348313656,21.71302725435684,21.71302725435684,0.005769605391558,0.017070619692838,,,
ai_developer_performance,Regression,1000,12,2,0.7598647455586756,0.7602921039515081,0.7596749362461095,0.7626192830099549,0.4226055684570494,12.661386799123672,16.49121934697867,0.0004273583928325,0.0029443467638453,,,
ai_developer_performance,Regression,1000,12,3,0.6445003333942736,0.6446738579737161,0.6466726938852047,0.6467589526080461,0.5846193202546701,4.993014092073575,9.980232926701737,0.0001735245794425,8.625872284140357e-05,,,
ai_developer_performance,Regression,1000,12,4,0.5710098245834652,0.576090430464808,0.5711713658925667,0.5816379760610828,0.67394778022916,18.73687919696052,52.99472049313759,0.0050806058813428,0.0104666101685161,,,
ai_developer_performance,Regression,1000,12,5,0.4902852296719088,0.4968825980110683,0.4880761271666748,0.4971070343274588,0.7596203935655635,15.74523235529293,63.48129232852158,0.0065973683391595,0.009030907160784,,,
ai_developer_performance,Regression,1000,12,6,0.3969881997797808,0.3986862756115987,0.3905002250815702,0.4035021424636634,0.8424003692356088,8.512583205369536,28.098097623407,0.0016980758318179,0.0130019173820931,,,
ai_developer_performance,Regression,1000,12,7,0.2781710603520517,0.298314873473737,0.2812143938307499,0.3008635440716652,0.9226208611826152,9.029427235533806,36.23410333389178,0.0201438131216852,0.0196491502409152,,,
ai_developer_performance,Regression,1000,12,8,0.2001913335530418,0.2015633142058548,0.2134940648777323,0.2130530342506006,0.9599234299702546,3.993684729231912,12.08548036860839,0.0013719806528129,-0.0004410306271316,,,
ai_developer_performance,Regression,1000,12,9,0.1266500917824647,0.1290441992365956,0.1358525313024123,0.1381744099316522,0.9839597542514932,3.255728681642238,16.40392191369316,0.0023941074541308,0.0023218786292399,,,
ai_developer_performance,Regression,1000,12,10,0.0852857858106348,0.0957709914701193,0.0882170697526838,0.1007249466831586,0.9927263347386625,5.380771636281649,43.94623772011256,0.0104852056594844,0.0125078769304748,,,
ai_developer_performance,Regression,1000,12,11,0.0501670323791558,0.057110039486751,0.0525756559861283,0.0599344427134894,0.9974832688622686,2.587932811187574,28.405980225477972,0.0069430071075952,0.0073587867273611,,,
ai_developer_performance,Regression,1000,12,12,1.0947550832798755e-15,0.0504779717084562,1.083458690208503e-15,0.0555620512754177,0.9999999999999998,0.0056358354570776,0.0147088389311594,0.0504779717084551,0.0555620512754167,,,
Breast Cancer,classification,569,30,1,0.7504504919177938,0.7507056038729766,0.7400441021265948,0.7387086626303007,0.4307302039735365,20.51016086057672,20.51016086057672,0.0002551119551827,-0.0013354394962941,,,
Breast Cancer,classification,569,30,2,0.6036946971740073,0.6042013755336159,0.6161621122814872,0.6161779074016571,0.6316092042987965,12.883519166560491,19.10587603178992,0.0005066783596086,1.579512016991469e-05,,,
Breast Cancer,classification,569,30,3,0.5172083919980609,0.5177282802249666,0.5411108275007237,0.5414434889782803,0.729600941858938,13.289746338001876,27.27109299945523,0.0005198882269057,0.0003326614775566,,,
Breast Cancer,classification,569,30,4,0.4530262921147311,0.4538021854422671,0.467697201788835,0.4687177450683283,0.7925464532873557,9.051438132183264,18.979322168288345,0.0007758933275359,0.0010205432794933,,,
Breast Cancer,classification,569,30,5,0.3918773192510477,0.392807010788787,0.3949473424423178,0.3950600938170596,0.8447704832056907,11.081474451003285,29.301500391151496,0.0009296915377392,0.0001127513747418,,,
Breast Cancer,classification,569,30,6,0.3348888564662872,0.3471323736772574,0.3425908181104141,0.3569313528377246,0.8866359268504246,12.31681499336694,28.17819250495289,0.0122435172109702,0.0143405347273105,,,
Breast Cancer,classification,569,30,7,0.2976265269404005,0.3005178168428699,0.3132846158425515,0.3176325643725048,0.9104599522412884,6.929942750754649,17.54149970081189,0.0028912899024693,0.0043479485299533,,,
